Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Serbia,Europe,2011825,29044.474,3085,44.538,426,16042,231.596,27,0.39,2
Bangladesh,South-East Asia,1952939,1185.832,173,0.105,0,29127,17.686,0,0,0
Hungary,Europe,1909948,19550.058,6748,69.072,0,46343,474.363,77,0.788,0
Slovakia,Europe,1786579,32733.979,2169,39.741,251,20018,366.773,57,1.044,7
Jordan,Eastern Mediterranean,1696054,16622.873,84,0.823,0,14066,137.86,0,0,0
Georgia,Europe,1655221,41492.815,0,0,0,16811,421.415,0,0,0
China,Western Pacific,1552288,105.505,341687,23.224,65892,15529,1.055,157,0.011,20
Ireland,Europe,1535161,30923.145,7108,143.178,3144,7179,144.608,39,0.786,6
Pakistan,Eastern Mediterranean,1528833,692.117,877,0.397,0,30375,13.751,6,0.003,0
Norway,Europe,1429062,26623.953,1627,30.312,156,3061,57.028,37,0.689,0
Kazakhstan,Europe,1394683,7427.729,92,0.49,20,19015,101.269,1,0.005,0
